Gene,Pathway,OG_TSG
EPGN,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,TSG
NRAS,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,TSG
UBA52,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,TSG
BAD,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FYN,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
HGF,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
GAB2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
KITLG,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3CB,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
ERBB3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGFR2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGFR3,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF10,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF22,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF4,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGFR1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF20,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
GSK3B,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FLT3LG,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
ESR1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PDGFB,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF9,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
TSC2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
AKT2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PIK3R2,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
GSK3A,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
MET,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF8,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
AREG,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
GAB1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF6,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CDKN1B,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
HBEGF,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
FGF1,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
PDGFRB,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
CD86,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,TSG
