Gene,Pathway,OG_TSG
ADAM17,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MAML1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
NCSTN,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC11,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HEYL,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HEY1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
RBPJ,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
UBB,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC3,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
TBL1XR1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MAML2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
JAG2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
NCOR2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HDAC2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MAML3,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
MIB2,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
HES5,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
DLL1,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
PSENEN,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
NEURL1B,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
UBA52,REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,TSG
CUL1,REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,TSG
RBX1,REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,TSG
FBXW7,REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,TSG
SKP1,REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,TSG
NOTCH1,REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,TSG
JAG1,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
MIB1,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
NEURL1,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
DLL4,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
ADAM10,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
RPS27A,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
NOTCH1,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
UBC,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
ADAM17,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
UBB,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
JAG2,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
MIB2,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
DLL1,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
NEURL1B,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
UBA52,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,TSG
TGFB1,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
TGFBR1,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
SMAD4,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
ZFYVE9,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
TGFBR2,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
SMAD3,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
SMAD2,REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,TSG
FKBP1A,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
TGFB1,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
TGFBR1,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
SMAD4,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
ZFYVE9,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
TGFBR2,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
SMAD3,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
SMAD2,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,TSG
PPP2R5A,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2R5B,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
LRP6,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2R5C,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
GSK3B,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PORCN,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
AXIN1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
DKK4,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2CB,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2R1A,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
TNKS2,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
DKK1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
RNF43,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2R5D,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2CA,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
CSNK1A1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
KREMEN2,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
APC,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2R1B,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
TCF7L2,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
PPP2R5E,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
WNT3A,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
DKK2,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
CTBP1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
LRP5,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
FZD5,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
FZD6,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
CTNNB1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
TNKS,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
FZD4,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
CTBP2,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
FZD8,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
KREMEN1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
AMER1,REACTOME_SIGNALING_BY_WNT_IN_CANCER,TSG
BAD,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
GSK3B,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
TSC2,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
AKT2,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
GSK3A,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
CDKN1B,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
AKT3,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
CREB1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
FOXO3,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
MAPKAP1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
NR4A1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
CDKN1A,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
CASP9,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
MDM2,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
PDPK1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
AKT1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
FOXO1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
RICTOR,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
MLST8,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
RPS6KB2,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
FOXO4,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
PRR5,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
MTOR,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
FOXO6,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
AKT1S1,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
CHUK,REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,TSG
FGFR3,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
GAB1,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
SOS1,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
PIK3CA,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
KRAS,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
PIK3R1,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
FRS2,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
HRAS,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
GRB2,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
NRAS,REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER,TSG
E2F2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
E2F1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CCNE1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDK6,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CCND1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDKN1B,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
E2F3,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CCND3,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
TFDP2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CCND2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDK2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDKN1A,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDKN1C,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDK4,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
RB1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CCNE2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
TFDP1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDC27,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC4,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
UBE2D1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC5,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDC23,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
FZR1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
UBE2S,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC15,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDC16,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
RB1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC11,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
SKP2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC10,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC16,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
UBE2E1,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
UBE2C,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC2,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
CDC26,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
ANAPC7,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,TSG
VCL,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
TPR,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
CUL1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
ZC3HC1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
MAPK1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
MYH9,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
RBX1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
MAPK3,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
PRKAR1A,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
CARS1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
PPFIBP1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
SKP1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
TFG,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
FN1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
BIRC6,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
STRN,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
BCL11A,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
PIK3CA,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
PLCG1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
RRBP1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
KLC1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
STAT5A,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
HIP1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
GCC2,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
LMO7,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
RPS6,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
FRS3,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
PPM1B,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
ATIC,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
SEC31A,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
BCL2A1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
CLTC,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
TPM3,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
EML4,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
PIK3R1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
MSN,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
RANBP2,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
SHC1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
SQSTM1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
WDCP,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
FRS2,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
TPM4,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
STAT3,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
IRS1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
MECP2,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
KIF5B,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
ALK,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
JUNB,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
EIF2AK3,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
CEBPB,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
RNF213,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
GRB2,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
NPM1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
DCTN1,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
EEF1G,REACTOME_SIGNALING_BY_ALK_IN_CANCER,TSG
CUL1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
ZC3HC1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
MAPK1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
RBX1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
MAPK3,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
SKP1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
FN1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
STAT5A,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
RPS6,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
BCL2A1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
CLTC,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
EML4,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
STAT3,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
MECP2,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
KIF5B,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
ALK,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
JUNB,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
CEBPB,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
NPM1,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,TSG
NFKB1,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
PTPN11,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
PDCD1,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
NFATC1,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
STAT3,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
NFATC2,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
HLA-DRB1,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
BATF,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
NFAT5,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
IFNG,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
HLA-A,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
CD274,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
PDCD1LG2,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
ZAP70,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
NFATC3,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
NFATC4,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
CD8A,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
CD3D,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
LCK,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
CD8B,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
CD3E,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
JUN,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
CD3G,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,TSG
MIR4683,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
CSNK2B,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
CSNK1A1L,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
NKD2,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
DVL1,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
CSNK2A2,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
CCND1,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
DKK4,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
CSNK2A1,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
KREMEN1,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
MYC,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
CSNK1E,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
EZH2,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,TSG
